Lnum	basehw	suffix	resolution	in_sanhw1
4555.022	arRavodBavaH	vam	arRavodBavam	True
4555.024	arRavaja	jam	arRavajam	True
4555.024	arRavaja	jaH	arRavajaH	True
4564.100	arTajAta	tam	arTajAtam	True
4564.104	arTatattvam	daH	None	False
4567	arTavat	vAn	None	False
4582.034	arDAvaBedakaH	kam	arDAvaBedakam	True
4582.058	arDoruka	kam	arDorukam	True
4582.088	arDacandra	ndraH	arDacandraH	True
4582.088	arDacandra	drA	arDacandrA	True
4582.094	arDacandrakam	raH	None	False
4582.094	arDacandrakam	ti	None	False
4582.146	arDapaTam	paTe	arDapaTe	True
4582.234	arDasama	mam	arDasamam	True
4613.030	arvAgvasu	suH	arvAgvasuH	True
4620.020	arSoGna	GnaH	arSoGnaH	True
4620.020	arSoGna	GnI	arSoGnI	True
4620.024	arSohita	taH	arSohitaH	True
4662.046	alampuruzIRa	RaH	alampuruzIRaH	True
4698.032	alipriya	yaH	alipriyaH	True
4698.032	alipriya	yA	alipriyA	True
4742.028	alpAyus	yuH	None	False
4742.032	alpAhAra	raH	alpAhAraH	True
4742.054	alpaganDa	nDam	alpaganDam	True
4742.064	alpatanu	nuH	alpatanuH	True
4742.090	alpapramARa	RaH	alpapramARaH	True
4742.090	alpapramARa	RakaH	None	False
4742.096	alpaprARa	RaH	alpaprARaH	True
4742.118	alpamUrti	rtiH	alpamUrtiH	True
4792	avakIrRin	rRI	None	False
5146.020	avamUrDaSaya	yaH	avamUrDaSayaH	True
5160	avayAj	yAH	None	False
5160	avayAj	yAjO	None	False
5170.020	avarArDaH	rDam	avarArDam	True
5170.024	avarArDya	rDyam	avarArDyam	True
5170.030	avaraja	jaH	avarajaH	True
5170.036	avaravarRa	rRaH	avaravarRaH	True
5170.042	avaravrata	taH	avaravrataH	True
5209	avarRa	rRaH	avarRaH	True
5428.028	avANmuKa	KaH	avANmuKaH	True
5465.042	avipriyaH	yA	avipriyA	True
5513	avijYAtf	tA	avijYAtftA	False
5637	avisargin	gI	None	False
5698.032	avyaktarAga	gaH	avyaktarAgaH	True
5698.040	avyaktaliNga	NgaH	avyaktaliNgaH	True
5698.040	avyaktaliNga	Ngam	avyaktaliNgam	True
5721.020	avyayAtman	tmA	None	False
5850.026	aSmakuwwa	wwaH	aSmakuwwaH	True
5850.026	aSmakuwwa	wwakaH	None	False
5850.062	aSmadAraRaH	Ram	aSmadAraRam	True
5850.086	aSmasAra	raH	aSmasAraH	True
5850.086	aSmasAra	ram	aSmasAram	True
5882	aSreyas	s	aSreyas	True
5890.038	aSvAroha	haH	aSvArohaH	True
5890.038	aSvAroha	hA	aSvArohA	True
5890.052	aSvakarRaH	rRaH	aSvakarRaH	True
5890.066	aSvaKuraH	rA	aSvaKurA	True
5890.150	aSvabanDana	nam	aSvabanDanam	True
5890.174	aSvamuKa	KaH	aSvamuKaH	True
5890.174	aSvamuKa	KI	aSvamuKI	True
5890.180	aSvameDika	kaH	aSvameDikaH	True
5890.180	aSvameDika	yaH	None	False
5890.180	aSvameDika	kam	aSvameDikam	True
5890.192	aSvaraTaH	TA	aSvaraTA	True
5890.284	aSvasTAna	nam	aSvasTAnam	True
5890.286	aSvahantf	tA	aSvahantftA	False
5923.020	azwAkzara	raH	azwAkzaraH	True
5923.022	azwANga	Ngam	azwANgam	True
5923.048	azwakapAla	laH	azwakapAlaH	True
5923.050	azwakarRa	rRaH	azwakarRaH	True
5923.050	azwakarRa	karman	None	False
5923.054	azwakulAcalAH	maryAdAgirayaH	None	False
5923.068	azwaguRa	Ram	azwaguRam	True
5923.106	azwapadaH	daH	azwapadaH	True
5923.106	azwapadaH	dam	azwapadam	True
5923.128	azwamaNgalaH	lam	azwamaNgalam	True
6014.024	asadAcAra	raH	asadAcAraH	True
6014.058	asadvftti	ttiH	asadvfttiH	True
6014.062	asadvyavahAra	raH	asadvyavahAraH	True
6017	asatkarman	rma	None	False
6135.046	asipatra	traH	asipatraH	True
6135.046	asipatra	tram	asipatram	True
