Lnum	basehw	suffix	resolution
5170.020	avarArDaH	rDam	avarArDam
5170.024	avarArDya	rDyam	avarArDyam
5170.030	avaraja	jaH	avarajaH
5170.036	avaravarRa	rRaH	avaravarRaH
5170.042	avaravrata	taH	avaravrataH
5209	avarRa	rRaH	avarRaH
5428.028	avANmuKa	KaH	avANmuKaH
5465.042	avipriyaH	yA	avipriyA
5513	avijYAtf	tA	avijYAtftA
5637	avisargin	gI	None
5698.032	avyaktarAga	gaH	avyaktarAgaH
5698.040	avyaktaliNga	NgaH	avyaktaliNgaH
5698.040	avyaktaliNga	Ngam	avyaktaliNgam
5721.020	avyayAtman	tmA	None
5850.026	aSmakuwwa	wwaH	aSmakuwwaH
5850.026	aSmakuwwa	wwakaH	None
5850.062	aSmadAraRaH	Ram	aSmadAraRam
5850.086	aSmasAra	raH	aSmasAraH
5850.086	aSmasAra	ram	aSmasAram
5882	aSreyas	s	aSreyas
5890.038	aSvAroha	haH	aSvArohaH
5890.038	aSvAroha	hA	aSvArohA
5890.052	aSvakarRaH	rRaH	aSvakarRaH
5890.066	aSvaKuraH	rA	aSvaKurA
5890.150	aSvabanDana	nam	aSvabanDanam
5890.174	aSvamuKa	KaH	aSvamuKaH
5890.174	aSvamuKa	KI	aSvamuKI
5890.180	aSvameDika	kaH	aSvameDikaH
5890.180	aSvameDika	yaH	None
5890.180	aSvameDika	kam	aSvameDikam
5890.192	aSvaraTaH	TA	aSvaraTA
5890.284	aSvasTAna	nam	aSvasTAnam
5890.286	aSvahantf	tA	aSvahantftA
5923.020	azwAkzara	raH	azwAkzaraH
5923.022	azwANga	Ngam	azwANgam
5923.048	azwakapAla	laH	azwakapAlaH
5923.050	azwakarRa	rRaH	azwakarRaH
5923.050	azwakarRa	karman	None
5923.054	azwakulAcalAH	maryAdAgirayaH	None
5923.068	azwaguRa	Ram	azwaguRam
5923.106	azwapadaH	daH	azwapadaH
5923.106	azwapadaH	dam	azwapadam
5923.128	azwamaNgalaH	lam	azwamaNgalam
6014.024	asadAcAra	raH	asadAcAraH
6014.058	asadvftti	ttiH	asadvfttiH
6014.062	asadvyavahAra	raH	asadvyavahAraH
6017	asatkarman	rma	None
6135.046	asipatra	traH	asipatraH
6135.046	asipatra	tram	asipatram
6135.066	asihatya	tyam	asihatyam
6139.038	asitagrIva	vaH	asitagrIvaH
6145	asuH	su	asu
6145.030	asunItaH	tam	asunItam
6145.038	asusama	maH	asusamaH
6157.046	asurarakzasa	sam	asurarakzasam
6225.074	asTivigraha	haH	asTivigrahaH
6265.020	asrArjaka	kaH	asrArjakaH
6298.034	ahardiva	vam	ahardivam
6298.042	aharniSam	Sam	aharniSam
6298.058	ahArAtraH	tram	ahArAtram
6300.024	ahaNkartavya	vyam	ahaNkartavyam
6310.038	ahicCatraH	traH	ahicCatraH
6310.108	ahimanyu	nyuH	ahimanyuH
6310.124	ahisakTa	kTaH	ahisakTaH
6319.002	ahInaH	nam	ahInam
6382.030	AkASagaH	gaH	AkASagaH
6382.030	AkASagaH	gA	AkASagA
6487.022	AKUtTa	tTaH	AKUtTaH
