A. L.	Ānandalaharī.
Vāk. P.	Vākyapadiya.
Vās.	Vāsavadattā, (Nirṇaya Sāgara, 1940).
Vātsy.	Vātsyāyana Kāmasūtra.
Vīr. M.	Vīramitrodaya.
Vṛnd. Ś.	Vṛndāvanaśataka.
Y.	Yājñavalkya Smṛti, (Nirṇaya Sāgara, 1926).
Yaj.	Yajurveda (Pandit Satawalekar ed.)
Yoga S.	Yogasūtras.
Yv.	Yajurveda (Pandit Satawalekar ed.)
Āpast.	Āpastamba.
Āry. S.	Āryavidyāsudhākara, (Bombay).
Āryā. S.	Āryāsaptaśatī (Published in the Kāvyamālā).
Āśval.	Āsvalāyanaʼs Sūtras.
Īśop.	Īśopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४).
Ś.	Śakuntalam, (Shiralkar & Co. Poona, 1902).
Ś. B.	Śārīrabhāṣya.
Ś. Til.	Śṛngāratilaka.
ŚB. on MS.	Śābarabhāṣya on Mīmānsā Sūtras.
Śabda. ch.	Śabdachintāmaṇi (Sanskṛt-Gujrati Dictionary by Ramanabhai Nilkanth, 1899).
Śabdak.	Śabdakalpadruma.
Śahendra.	Śāhendravilāsa, edited by Dr. Raghavan.
Śalihotra	Śalihotra of Bhoja, edited by Dr. E. D. Kulkarni.
Śanti.	Śāntiśataka.
Śat. Br.	Śatapatha Brāhmaṇa.
Śi.	Śisupālavadha, (Nirṇaya Sāgara, 1902).
Śik.	Śikṣā.
Śik. s.	Śikṣā-Saṅgraha.
Śiva B.	Śivabhārata by Paramānanda.
Śiva P.	Śiva Purāṇa.
Śrut.	Śrutabodha.
Śs.	Śrauta-sūtra.
Śukra.	Śukranīti, (रा. गो. शास्त्री, अलीबाग छापखाना).
Śvet. Up.	Śvetāśvataropaniṣad.
Śāraṅg. S.	Śāraṅgadhara Samhitācd
Ṛ. S.	Ṛtusamhāra, (V.R. Nerurkar, Bombay, 1916).
Ṛs.	Ṛitusaṃhāra.
Ṛv.	Ṛgveda, (Pandita Satawalekar and V. S. Mandala, Poona).
Ṛv. Pr.	Ṛgveda Prātiśākhya.
