BaseL	AssignedL
1648.XYZ	1648.002
1658.XYZ	1658.002
1662.XYZ	1662.002
1665.XYZ	1665.002
1665.XYZ	1665.004
1667.XYZ	1667.002
1669.XYZ	1669.002
1669.XYZ	1669.004
1669.XYZ	1669.006
1674.XYZ	1674.002
1680.XYZ	1680.006
1680.XYZ	1680.008
Lbody:1680.XYZ	Lbody:1680.006
1683.XYZ	1683.002
1697.XYZ	1697.002
1698.XYZ	1698.002
1698.XYZ	1698.004
Lbody:1698.XYZ	Lbody:1698.002
1709.XYZ	1709.002
1710.XYZ	1710.002
1716.XYZ	1716.002
1723.XYZ	1723.002
1723.XYZ	1723.004
1739.XYZ	1739.002
1739.XYZ	1739.004
Lbody:1739.XYZ	Lbody:1739.002
1740.XYZ	1740.002
1741.XYZ	1741.002
1743.XYZ	1743.002
1750.XYZ	1750.004
1750.XYZ	1750.006
Lbody:1750.XYZ	Lbody:1750.004
1750.XYZ	1750.008
1750.XYZ	1750.010
Lbody:1750.XYZ	Lbody:1750.008
1750.XYZ	1750.012
1761.XYZ	1761.002
1770.XYZ	1770.002
1779.XYZ	1779.002
1780.XYZ	1780.002
1780.XYZ	1780.004
1780.XYZ	1780.006
1780.XYZ	1780.008
1784.XYZ	1784.002
1787.XYZ	1787.002
1798.XYZ	1798.002
1803.XYZ	1803.002
1808.XYZ	1808.002
1820.XYZ	1820.002
1822.XYZ	1822.002
1825.XYZ	1825.002
1831.XYZ	1831.002
1831.XYZ	1831.004
Lbody:1831.XYZ	Lbody:1831.002
1839.XYZ	1839.002
1845.XYZ	1845.002
1845.XYZ	1845.004
1849.XYZ	1849.002
1856.XYZ	1856.002
1863.XYZ	1863.004
1865.XYZ	1865.002
1865.XYZ	1865.004
1868.XYZ	1868.002
1868.XYZ	1868.004
1879.XYZ	1879.002
1879.XYZ	1879.004
1883.XYZ	1883.002
1901.XYZ	1901.002
1906.XYZ	1906.002
1924.XYZ	1924.002
1957.XYZ	1957.002
1983.XYZ	1983.002
1992.XYZ	1992.002
1992.XYZ	1992.004
2013.XYZ	2013.002
2021.XYZ	2021.002
2023.XYZ	2023.004
2036.XYZ	2036.002
2044.XYZ	2044.002
2045.XYZ	2045.004
2053.XYZ	2053.002
2054.XYZ	2054.002
2056.XYZ	2056.002
2056.XYZ	2056.004
2065.XYZ	2065.002
2065.XYZ	2065.004
2075.XYZ	2075.002
2075.XYZ	2075.004
2075.XYZ	2075.006
2079.XYZ	2079.002
2089.XYZ	2089.002
2089.XYZ	2089.004
Lbody:2089.XYZ	Lbody:2089.002
2094.XYZ	2094.004
2098.XYZ	2098.002
2130.XYZ	2130.002
2134.XYZ	2134.002
2147.XYZ	2147.002
2147.XYZ	2147.004
2162.XYZ	2162.002
2163.XYZ	2163.002
2193.XYZ	2193.002
2200.XYZ	2200.002
2200.XYZ	2200.004
2200.XYZ	2200.006
2201.XYZ	2201.002
2211.XYZ	2211.002
2243.XYZ	2243.002
2248.XYZ	2248.002
2255.XYZ	2255.002
2261.XYZ	2261.002
2263.XYZ	2263.004
2263.XYZ	2263.006
2270.XYZ	2270.002
2276.XYZ	2276.002
2276.XYZ	2276.004
Lbody:2276.XYZ	Lbody:2276.002
2280.XYZ	2280.002
2295.XYZ	2295.002
2319.XYZ	2319.002
2328.XYZ	2328.002
2329.XYZ	2329.002
2335.XYZ	2335.002
2337.XYZ	2337.002
2368.XYZ	2368.002
2370.XYZ	2370.002
2370.XYZ	2370.004
2374.XYZ	2374.002
2374.XYZ	2374.004
2374.XYZ	2374.006
2376.XYZ	2376.002
2385.XYZ	2385.002
2385.XYZ	2385.004
2385.XYZ	2385.006
2388.XYZ	2388.002
2396.XYZ	2396.002
2397.XYZ	2397.002
2419.XYZ	2419.002
2420.XYZ	2420.002
2420.XYZ	2420.004
2423.XYZ	2423.002
2428.XYZ	2428.002
2464.XYZ	2464.002
2488.XYZ	2488.002
2503.XYZ	2503.002
2511.XYZ	2511.004
2511.XYZ	2511.006
Lbody:2511.XYZ	Lbody:2511.004
2512.XYZ	2512.002
2518.XYZ	2518.002
2519.XYZ	2519.002
2540.XYZ	2540.002
2559.XYZ	2559.002
2567.XYZ	2567.002
2572.XYZ	2572.002
2572.XYZ	2572.004
2594.XYZ	2594.004
2601.XYZ	2601.002
2601.XYZ	2601.004
2603.XYZ	2603.002
2603.XYZ	2603.004
